Player,Team,Mat,Inns,NO,Runs,Avg,SR,100s,50s,Bowl_Inns,Overs,Wkts,Bowl_Avg,Econ,BBI,4w,5w
Nasum Ahmed,Bangladesh,39,10,3,48,8.0,94.11,0,0,38,137.5,38,26.34,7.26,10-25,1,0
Tanzid Hasan,Bangladesh,5,5,0,97,19.4,107.77,0,0,0,0.0,0,0.0,0.0,0,0,0
Hasan Mahmud,Bangladesh,30,6,3,9,4.5,81.81,0,0,30,99.0,39,27.07,7.59,3-47,0,0
Jos Buttler,England,118,110,15,3152,33.18,145.9,1,24,2,2.0,1,12.0,6.0,7-25,0,0
Phil Salt,England,24,23,0,639,27.78,169.52,1,4,0,0.0,0,0.0,0.0,0,0,0
Harry Brook,England,27,25,3,561,25.5,144.02,0,3,0,0.0,0,0.0,0.0,0,0,0
Will Jacks,England,14,14,1,324,24.92,152.11,0,1,3,5.0,0,29.0,11.6,0/13,0,0
Liam Livingstone,England,45,39,7,531,16.59,148.75,1,1,38,92.1,29,29.27,9.22,3-16,0,0
Moeen Ali,England,91,70,17,1226,23.13,144.88,0,7,83,211.0,50,29.88,7.07,3-24,0,0
Sam Curran,England,43,27,13,206,14.71,130.38,0,0,42,144.5,48,21.02,6.96,10-25,2,1
Chris Jordan,England,92,44,14,518,17.26,141.51,0,0,91,319.4,96,27.36,8.22,6-25,1,0
Reece Topley,England,25,6,5,9,9.0,100.0,0,0,25,88.5,27,25.59,7.77,3-22,0,0
Mark Wood,England,33,6,5,27,27.0,108.0,0,0,32,120.0,49,20.79,8.48,9-25,0,0
Adil Rashid,England,103,18,10,83,10.37,104.9,0,0,101,359.3,109,25.4,6.92,2-25,1,0
Jofra Archer,England,15,5,3,35,17.5,150.0,0,0,15,52.0,21,18.66,7.53,4-33,1,0
Ben Duckett,England,16,16,1,467,31.13,143.51,0,4,0,0.0,0,0.0,0.0,0,0,0
Brydon Carse,England,7,3,2,26,26.0,104.0,0,0,7,24.0,10,22.6,9.41,3-33,0,0
Gus Atkinson,England,6,1,1,5,0.0,100.0,0,0,6,18.0,9,22.77,11.38,3-30,0,0
Paul Stirling,Ireland,145,143,6,3565,26.05,135.27,1,23,24,59.0,20,30.3,10.27,3-21,0,0
Andrew Balbirnie,Ireland,101,98,5,1971,21.19,122.52,0,8,0,0.0,0,0.0,0.0,0,0,0
Harry Tector,Ireland,74,69,13,1410,25.17,128.57,0,8,0,0.0,0,0.0,0.0,0,0,0
Lorcan Tucker,Ireland,69,61,7,1091,20.2,123.65,0,5,0,0.0,0,0.0,0.0,0,0,0
Curtis Campher,Ireland,43,35,10,574,22.96,129.04,0,3,34,101.2,31,33.93,10.38,4-20,1,0
George Dockrell,Ireland,123,79,27,1197,22.98,131.94,0,3,78,226.3,82,27.82,10.08,4-20,1,0
Mark Adair,Ireland,88,43,17,436,16.76,132.51,0,1,87,303.0,120,22.37,8.85,4-13,4,0
Gareth Delany,Ireland,71,63,6,991,17.39,131.89,0,4,41,111.5,39,33.43,11.65,2-21,0,0
Barry McCarthy,Ireland,65,29,13,246,15.37,136.66,0,1,64,214.3,72,28.68,9.61,4-30,1,0
Josh Little,Ireland,72,10,4,31,7.75,96.87,0,0,72,266.4,83,26.83,8.35,4-45,2,0
Ben White,Ireland,19,5,3,9,4.5,100.0,0,0,19,69.0,20,29.0,8.4,2-28,0,0
Craig Young,Ireland,68,9,6,23,7.66,92.0,0,0,67,233.5,70,28.35,8.48,4-13,1,0
Fionn Hand,Ireland,13,6,2,27,6.75,100.0,0,0,13,34.2,9,37.33,9.79,2-17,0,0
Neil Rock,Ireland,25,20,7,202,15.53,117.81,0,0,0,0.0,0,0.0,0.0,0,0,0
Theo van Woerkom,Ireland,5,2,0,4,2.0,57.14,0,0,5,18.0,4,26.75,5.94,2-19,0,0
Glenn Phillips,New Zealand,68,59,11,1634,34.04,144.63,2,8,11,26.0,2,52.5,4.03,11-25,0,0
Mark Chapman,New Zealand,72,65,11,1450,26.85,134.04,1,7,4,6.3,1,50.0,7.69,6-25,0,0
Finn Allen,New Zealand,43,43,0,1104,25.67,163.76,1,5,0,0.0,0,0.0,0.0,0,0,0
Daryl Mitchell,New Zealand,59,51,16,1250,35.71,139.13,0,6,6,9.0,3,32.66,10.9,7-25,0,0
Tim Seifert,New Zealand,52,49,4,950,21.11,131.94,0,6,0,0.0,0,0.0,0.0,0,0,0
Mitchell Santner,New Zealand,100,67,20,651,13.84,122.78,0,1,96,350.0,111,22.35,7.1,11-25,2,0
James Neesham,New Zealand,73,56,17,824,21.12,151.98,0,0,52,139.0,42,30.28,9.15,3-16,0,0
Ish Sodhi,New Zealand,104,30,15,147,9.8,97.36,0,0,103,374.2,126,24.0,8.08,4-28,2,0
Tim Southee,New Zealand,120,36,21,295,19.66,136.57,0,0,118,425.1,157,23.0,8.5,5-18,1,1
Lockie Ferguson,New Zealand,43,7,5,27,13.5,108.0,0,0,43,152.3,62,23.45,9.54,5-21,1,1
Adam Milne,New Zealand,47,14,7,94,13.42,121.05,0,0,46,162.0,58,24.36,8.72,5-26,2,1
Trent Boult,New Zealand,55,10,6,24,6.0,80.0,0,0,54,190.4,74,21.56,8.37,4-13,2,0
Rachin Ravindra,New Zealand,25,23,3,274,13.7,127.72,0,2,17,43.0,11,38.81,9.93,3-22,0,0
Ben Sears,New Zealand,16,2,2,6,0.0,120.0,0,0,16,59.5,20,27.1,9.06,3-19,0,0
Matt Henry,New Zealand,18,6,3,39,13.0,105.4,0,0,18,62.3,23,25.04,9.22,3-36,0,0
Babar Azam,Pakistan,119,114,15,4145,41.03,130.47,3,39,0,0.0,0,0.0,0.0,0,0,0
Mohammad Rizwan,Pakistan,96,87,16,3266,45.99,127.85,1,29,0,0.0,0,0.0,0.0,0,0,0
Fakhar Zaman,Pakistan,88,85,3,1733,21.12,130.92,0,9,0,0.0,0,0.0,0.0,0,0,0
Iftikhar Ahmed,Pakistan,64,53,18,1043,29.8,136.74,0,4,20,27.0,8,36.75,10.89,2-30,0,0
Shadab Khan,Pakistan,105,62,16,632,13.74,138.95,0,1,104,374.0,107,24.25,6.93,8-25,1,0
Azam Khan,Pakistan,15,14,1,160,12.3,127.0,0,0,0,0.0,0,0.0,0.0,0,0,0
Saim Ayub,Pakistan,20,20,0,395,19.75,137.39,0,1,0,0.0,0,0.0,0.0,0,0,0
Ihsanullah,Pakistan,6,1,0,6,6.0,120.0,0,0,6,19.0,6,19.83,6.26,2-17,0,0
Shaheen Afridi,Pakistan,66,15,8,68,9.71,118.96,0,0,65,242.2,91,21.24,7.97,4-22,1,0
Naseem Shah,Pakistan,20,6,4,37,18.5,100.0,0,0,20,72.0,20,27.3,7.58,7-25,0,0
Mohammad Wasim Jr,Pakistan,31,15,5,94,9.4,110.58,0,0,30,106.1,36,27.0,9.14,3-24,0,0
Imad Wasim,Pakistan,75,44,19,486,19.44,133.0,0,0,74,263.1,65,27.03,6.67,3-20,0,0
Abrar Ahmed,Pakistan,6,2,2,10,0.0,100.0,0,0,6,18.0,7,18.28,7.11,2-15,0,0
Usama Mir,Pakistan,14,5,3,28,14.0,112.0,0,0,14,45.0,11,32.54,7.96,2-23,0,0
Zaman Khan,Pakistan,10,1,1,0,0.0,0.0,0,0,10,38.0,14,21.42,7.89,2-20,0,0
Aiden Markram,South Africa,56,49,9,1585,39.63,148.18,0,10,13,24.4,7,26.85,7.63,3-21,0,0
Reeza Hendricks,South Africa,59,56,1,1623,29.14,131.18,0,14,0,0.0,0,0.0,0.0,0,0,0
Quinton de Kock,South Africa,88,88,7,2277,28.11,137.4,1,14,0,0.0,0,0.0,0.0,0,0,0
Heinrich Klaasen,South Africa,49,46,6,993,24.82,150.68,1,6,0,0.0,0,0.0,0.0,0,0,0
David Miller,South Africa,114,101,36,2268,34.89,144.0,2,6,1,1.0,0,0.0,0.0,0,0,0
Tristan Stubbs,South Africa,21,18,2,387,24.18,149.42,0,2,1,1.0,0,0.0,0.0,0,0,0
Marco Jansen,South Africa,15,9,5,92,23.0,147.61,0,0,15,53.0,19,20.63,7.39,3-27,0,0
Keshav Maharaj,South Africa,36,13,5,63,15.75,100.0,0,0,36,124.2,37,25.45,7.57,2-21,0,0
Tabraiz Shamsi,South Africa,65,6,2,17,8.5,85.0,0,0,65,238.2,78,23.37,7.64,5-24,3,1
Kagiso Rabada,South Africa,56,16,9,139,19.85,120.17,0,0,56,204.0,58,26.48,7.52,3-20,0,0
Anrich Nortje,South Africa,32,6,4,17,8.5,89.47,0,0,32,116.5,38,22.68,7.37,10-25,1,0
Gerald Coetzee,South Africa,8,2,1,5,5.0,62.5,0,0,8,29.0,9,26.0,8.06,3-32,0,0
Lungi Ngidi,South Africa,40,6,4,27,13.5,90.0,0,0,40,142.2,60,20.9,8.8,5-39,2,1
Bjorn Fortuin,South Africa,20,3,2,6,6.0,66.66,0,0,20,71.0,26,22.23,6.58,3-16,0,0
Ottniel Baartman,South Africa,3,1,1,0,0.0,0.0,0,0,3,11.0,7,8.71,5.54,10-25,1,0
Kusal Mendis,Sri Lanka,65,63,4,1466,24.83,128.03,0,9,0,0.0,0,0.0,0.0,0,0,0
Pathum Nissanka,Sri Lanka,52,52,2,1414,28.28,112.44,0,11,0,0.0,0,0.0,0.0,0,0,0
Charith Asalanka,Sri Lanka,61,56,2,1397,25.86,121.2,0,8,0,0.0,0,0.0,0.0,0,0,0
Wanindu Hasaranga,Sri Lanka,66,42,11,553,17.83,138.12,0,1,64,238.0,104,15.18,6.63,9-25,3,0
Dasun Shanaka,Sri Lanka,97,81,27,1453,26.9,119.82,0,5,46,107.4,27,35.77,8.97,3-16,0,0
Dhananjaya de Silva,Sri Lanka,45,44,2,984,23.42,120.29,0,6,30,71.3,14,38.5,7.55,2-22,0,0
Maheesh Theekshana,Sri Lanka,50,12,8,24,6.0,82.75,0,0,50,178.0,51,24.78,7.09,3-17,0,0
Matheesha Pathirana,Sri Lanka,10,2,2,4,0.0,66.66,0,0,10,37.0,13,25.53,8.97,3-24,0,0
Dilshan Madushanka,Sri Lanka,25,3,2,5,5.0,83.33,0,0,25,89.5,31,24.45,8.44,3-20,0,0
Lahiru Kumara,Sri Lanka,31,4,2,9,4.5,100.0,0,0,31,109.3,38,29.05,10.07,3-20,0,0
Binura Fernando,Sri Lanka,19,6,3,23,7.66,102.22,0,0,19,62.0,25,26.88,10.84,3-22,0,0
Pramod Madushan,Sri Lanka,14,1,0,1,1.0,50.0,0,0,14,51.0,17,29.7,9.88,3-36,0,0
Sadeera Samarawickrama,Sri Lanka,20,17,3,315,22.5,116.36,0,1,0,0.0,0,0.0,0.0,0,0,0
Bhanuka Rajapaksa,Sri Lanka,35,31,1,677,22.56,134.56,0,3,0,0.0,0,0.0,0.0,0,0,0
Kasun Rajitha,Sri Lanka,23,2,2,1,0.0,25.0,0,0,23,82.0,20,35.45,8.65,3-17,0,0
Rovman Powell,West Indies,72,61,13,1226,25.54,144.71,0,5,6,8.4,2,23.0,5.3,6-25,0,0
Nicholas Pooran,West Indies,93,88,10,1920,24.61,134.51,0,11,0,0.0,0,0.0,0.0,0,0,0
Brandon King,West Indies,47,46,1,1140,25.33,129.73,0,8,0,0.0,0,0.0,0.0,0,0,0
Johnson Charles,West Indies,47,46,0,1078,23.43,131.53,1,4,0,0.0,0,0.0,0.0,0,0,0
Shai Hope,West Indies,27,26,6,539,26.95,136.46,0,3,0,0.0,0,0.0,0.0,0,0,0
Andre Russell,West Indies,74,61,16,951,21.13,156.0,0,2,60,177.0,46,34.06,8.85,3-19,0,0
Sherfane Rutherford,West Indies,17,13,5,226,28.25,134.52,0,2,0,0.0,0,0.0,0.0,0,0,0
Jason Holder,West Indies,69,47,15,439,13.72,123.03,0,0,67,235.0,65,27.07,7.48,5-27,2,1
Romario Shepherd,West Indies,42,30,11,301,15.84,154.64,0,0,42,143.2,48,25.79,8.62,4-31,1,0
Akeal Hosein,West Indies,52,14,6,153,19.12,122.83,0,0,52,186.0,43,23.83,6.07,4-30,1,0
Gudakesh Motie,West Indies,17,5,3,15,7.5,100.0,0,0,17,64.0,25,14.48,5.65,3-22,0,0
Alzarri Joseph,West Indies,29,8,6,40,20.0,114.28,0,0,29,105.3,42,24.38,9.71,5-40,2,1
Obed McCoy,West Indies,38,10,6,19,4.75,73.07,0,0,38,134.0,59,20.88,9.18,6-17,1,1
Shamar Joseph,West Indies,1,1,0,0,0.0,0.0,0,0,1,4.0,2,11.0,5.5,2-22,0,0
Roston Chase,West Indies,11,9,2,126,18.0,108.62,0,0,9,30.0,8,28.0,7.46,3-25,0,0
Sikandar Raza,Zimbabwe,86,81,12,1611,23.34,133.19,0,10,68,217.0,59,25.25,6.86,8-25,1,0
Craig Ervine,Zimbabwe,66,64,4,1181,19.68,104.15,0,7,0,0.0,0,0.0,0.0,0,0,0
Sean Williams,Zimbabwe,68,64,7,1484,26.03,129.25,0,10,30,78.0,43,21.37,11.78,3-15,0,0
Wessly Madhevere,Zimbabwe,57,56,1,1130,20.54,120.63,0,7,17,33.0,12,25.08,9.12,8-25,0,0
Milton Shumba,Zimbabwe,32,30,2,456,16.29,106.54,0,2,10,24.0,4,31.75,5.29,2-16,0,0
Ryan Burl,Zimbabwe,66,57,15,1104,26.28,135.29,0,4,35,64.3,20,29.15,9.04,3-29,0,0
Tadiwanashe Marumani,Zimbabwe,26,25,0,481,19.24,115.62,0,3,0,0.0,0,0.0,0.0,0,0,0
Innocent Kaia,Zimbabwe,17,17,1,338,21.12,108.65,0,2,0,0.0,0,0.0,0.0,0,0,0
Clive Madande,Zimbabwe,23,19,4,273,18.2,109.21,0,0,0,0.0,0,0.0,0.0,0,0,0
Donald Tiripano,Zimbabwe,23,9,6,47,15.66,97.91,0,0,23,79.2,25,28.52,8.99,3-20,0,0
Richard Ngarava,Zimbabwe,49,10,6,30,7.5,85.71,0,0,49,174.2,48,29.18,8.03,2-13,0,0
Wellington Masakadza,Zimbabwe,39,7,6,13,13.0,100.0,0,0,39,122.2,34,30.91,8.59,2-20,0,0
Blessing Muzarabani,Zimbabwe,41,6,4,17,8.5,94.44,0,0,41,147.0,45,26.77,8.19,3-23,0,0
Luke Jongwe,Zimbabwe,57,30,12,398,22.11,133.44,0,0,56,191.4,56,25.64,7.48,4-18,1,0
Tendai Chatara,Zimbabwe,54,4,2,8,4.0,100.0,0,0,54,188.4,56,24.5,7.27,3-14,0,0
Suryakumar Yadav,India,60,56,4,2141,41.17,171.55,4,17,2,2.0,1,12.0,6.0,7-25,0,0
Ruturaj Gaikwad,India,19,18,2,500,31.25,140.84,1,2,0,0.0,0,0.0,0.0,0,0,0
Shubman Gill,India,14,14,0,335,23.93,147.57,1,1,0,0.0,0,0.0,0.0,0,0,0
Rinku Singh,India,15,11,6,356,71.2,176.23,0,2,0,0.0,0,0.0,0.0,0,0,0
Sanju Samson,India,25,22,2,374,18.7,133.57,0,1,0,0.0,0,0.0,0.0,0,0,0
Hardik Pandya,India,92,71,20,1348,26.43,139.83,0,3,78,265.5,73,27.33,7.5,4-16,1,0
Axar Patel,India,57,31,15,361,22.56,139.3,0,1,56,206.0,49,26.18,6.23,9-25,0,0
Ravi Bishnoi,India,24,4,3,12,12.0,85.71,0,0,23,87.0,36,18.25,7.55,4-16,2,0
Arshdeep Singh,India,44,6,3,19,6.33,105.55,0,0,43,149.3,62,19.95,8.28,4-37,2,0
Mukesh Kumar,India,15,3,2,3,3.0,100.0,0,0,15,52.0,12,35.41,8.17,3-32,0,0
Kuldeep Yadav,India,35,6,3,17,8.5,121.42,0,0,33,123.0,59,14.41,6.9,5-17,2,1
Yashasvi Jaiswal,India,17,17,0,502,29.52,161.93,1,4,0,0.0,0,0.0,0.0,0,0,0
Washington Sundar,India,38,23,11,107,8.91,127.38,0,1,37,132.0,31,31.0,7.27,3-22,0,0
Shivam Dube,India,21,15,5,276,27.6,145.45,0,1,10,22.3,8,33.25,11.81,3-19,0,0
Jasprit Bumrah,India,62,6,4,62,31.0,124.0,0,0,61,222.0,74,20.22,6.57,11-25,0,0
Glenn Maxwell,Australia,106,98,15,2468,29.73,155.88,5,10,71,138.0,39,29.79,8.42,10-25,0,0
Marcus Stoinis,Australia,62,54,17,1077,29.1,146.88,0,4,34,84.5,29,31.31,10.7,3-18,0,0
Mitchell Marsh,Australia,57,55,8,1462,31.1,136.19,0,9,27,66.2,17,35.11,9.0,3-24,0,0
David Warner,Australia,103,103,9,3155,34.05,142.65,1,28,0,0.0,0,0.0,0.0,0,0,0
Travis Head,Australia,30,30,3,656,24.29,151.15,0,3,2,1.0,0,21.0,21.0,0,0,0
Tim David,Australia,38,36,13,975,42.39,160.24,0,6,0,0.0,0,0.0,0.0,0,0,0
Matthew Wade,Australia,84,68,14,1190,22.03,134.91,0,4,0,0.0,0,0.0,0.0,0,0,0
Josh Inglis,Australia,24,23,0,634,27.56,154.93,1,3,0,0.0,0,0.0,0.0,0,0,0
Pat Cummins,Australia,52,13,6,122,17.42,145.23,0,0,51,182.1,57,24.12,7.54,3-15,0,0
Adam Zampa,Australia,82,17,6,45,4.09,93.75,0,0,81,292.5,91,22.09,6.86,8-25,2,0
Nathan Ellis,Australia,16,6,5,26,26.0,108.33,0,0,16,57.5,24,19.5,8.09,4-28,1,0
Sean Abbott,Australia,19,11,5,89,14.83,147.45,0,0,19,60.3,26,18.57,7.98,4-31,1,0
Ashton Agar,Australia,47,18,10,191,23.87,118.4,0,0,47,167.4,48,22.44,6.42,3-16,0,0
Mitchell Starc,Australia,65,13,7,69,11.5,124.07,0,0,65,238.1,79,22.37,7.41,3-20,0,0
Josh Hazlewood,Australia,52,5,5,15,0.0,100.0,0,0,51,187.0,65,23.6,8.2,12-25,1,0
