Player,Team,Mat,Inns,NO,Runs,Avg,SR,100s,50s,Bowl_Inns,Overs,Wkts,Bowl_Avg,Econ,BBI,4w,5w
Tendai Chatara,Zimbabwe,88,30,18,166,13.83,58.87,0,0,87,747.3,107,29.29,4.18,Apr-33,3,0
Brad Evans,Zimbabwe,15,11,5,161,26.83,96.99,0,0,15,115.3,13,52.76,5.93,May-54,0,1
Kusal Mendis,Sri Lanka,126,118,9,3623,33.24,84.53,3,28,0,0.0,0,0.0,0.0,0,0,0
Pathum Nissanka,Sri Lanka,46,46,5,1584,38.63,85.67,4,11,0,0.0,0,0.0,0.0,0,0,0
Charith Asalanka,Sri Lanka,58,52,8,1548,35.18,89.08,1,10,10,43.0,4,88.25,8.21,01-Dec,0,0
Sadeera Samarawickrama,Sri Lanka,28,26,3,887,38.56,92.41,1,7,0,0.0,0,0.0,0.0,0,0,0
Dasun Shanaka,Sri Lanka,70,59,14,1231,27.35,91.58,2,4,45,279.4,27,49.44,4.77,May-43,0,1
Dhananjaya de Silva,Sri Lanka,83,74,10,1895,29.61,78.56,0,12,70,476.0,48,38.91,3.91,Mar-32,0,0
Maheesh Theekshana,Sri Lanka,30,11,5,98,16.33,73.13,0,0,30,277.2,43,25.9,4.01,Apr-25,1,0
Wanindu Hasaranga,Sri Lanka,66,41,6,832,23.77,105.18,0,4,64,526.2,102,28.0,5.43,Apr-36,1,0
Kasun Rajitha,Sri Lanka,28,6,2,36,9.0,52.17,0,0,28,222.0,34,43.32,6.62,Apr-79,1,0
Dilshan Madushanka,Sri Lanka,17,2,2,6,0.0,85.71,0,0,17,137.3,27,32.07,6.28,May-80,0,1
Matheesha Pathirana,Sri Lanka,12,2,1,12,12.0,109.09,0,0,12,87.0,19,31.84,6.95,Apr-32,1,0
Quinton de Kock,South Africa,155,155,9,6770,45.25,96.64,21,32,1,6.0,1,13.0,2.16,Jan-13,0,0
Rassie van der Dussen,South Africa,56,56,6,2245,44.9,88.89,6,13,0,0.0,0,0.0,0.0,0,0,0
Aiden Markram,South Africa,59,54,2,1913,36.78,96.32,2,10,22,108.0,19,47.0,8.27,Feb-20,0,0
Heinrich Klaasen,South Africa,58,52,6,1875,40.76,113.35,4,10,1,3.0,0,0.0,0.0,0/3,0,0
David Miller,South Africa,165,132,39,4161,44.75,101.37,5,23,1,1.0,0,0.0,0.0,0/1,0,0
Marco Jansen,South Africa,25,18,5,408,31.38,112.07,0,2,25,216.5,44,28.61,5.8,May-39,1,1
Keshav Maharaj,South Africa,43,15,6,162,18.0,72.29,0,0,42,384.0,49,35.63,4.54,Apr-33,1,0
Tabraiz Shamsi,South Africa,52,7,5,24,12.0,46.15,0,0,50,451.5,78,30.35,5.24,May-49,1,1
Kagiso Rabada,South Africa,101,38,17,333,15.85,84.71,0,0,101,879.2,157,27.49,4.91,Jun-16,2,1
Lungi Ngidi,South Africa,51,9,6,44,14.66,88.0,0,0,51,444.2,82,27.63,5.1,Jun-58,2,1
Gerald Coetzee,South Africa,12,4,3,21,21.0,77.77,0,0,12,91.4,24,24.83,6.5,Apr-44,1,0
