Player,Team,Format,Mat,Inns,NO,Runs,HS,Avg,SR,100s,50s,Bowl_Inns,Overs,Wkts,Bowl_Avg,Econ,BBI,4w,5w
Brandon King,West Indies,ODI,34,34,2,1055,112,32.97,85.49,3,7,0,,0,,,,0,0
Nicholas Pooran,West Indies,ODI,62,60,6,1979,118,36.65,97.94,3,11,0,,0,,,,0,0
Rovman Powell,West Indies,ODI,55,47,5,1193,101,28.4,93.94,1,6,7,33,3,87.33,7.93,01-Mar,0,0
Keacy Carty,West Indies,ODI,22,22,2,508,87,25.4,74.1,0,3,0,,0,,,,0,0
Sherfane Rutherford,West Indies,ODI,12,9,2,204,63*,29.14,91.07,0,2,1,5,0,,,0/24,0,0
Romario Shepherd,West Indies,ODI,32,21,10,344,73*,31.27,115.89,0,1,31,234.5,47,32.31,6.46,Apr-31,2,0
Akeal Hosein,West Indies,ODI,41,23,7,318,44*,19.87,92.23,0,0,40,364,49,34.55,4.65,Apr-39,2,0
Yannic Cariah,West Indies,ODI,12,8,3,127,52,25.4,74.27,0,1,11,88.3,12,40.91,5.54,Mar-34,0,0
Alzarri Joseph,West Indies,ODI,66,31,17,346,49*,24.71,81.13,0,0,65,562.2,109,27.28,5.29,May-56,4,1
Gudakesh Motie,West Indies,ODI,12,2,2,17,12*,-,113.33,0,0,12,116,20,26.4,4.55,Apr-23,1,0
Sikandar Raza,Zimbabwe,ODI,142,133,14,4153,141,34.89,87.13,5,29,119,846.3,85,43.34,4.35,May-30,3,2
Craig Ervine,Zimbabwe,ODI,120,116,7,3191,130,29.28,73.23,4,19,0,,0,,,,0,0
Ryan Burl,Zimbabwe,ODI,44,40,10,839,59*,27.96,87.51,0,6,29,198.1,18,55.38,5.03,05-Oct,1,1
Wessly Madhevere,Zimbabwe,ODI,39,38,1,1079,93,29.16,75.41,0,9,23,99.1,13,46.38,6.09,Mar-36,0,0
Innocent Kaia,Zimbabwe,ODI,25,25,0,674,110,26.96,67.16,1,3,0,,0,,,,0,0
Clive Madande,Zimbabwe,ODI,26,23,5,476,74,26.44,78.27,0,2,0,,0,,,,0,0
Richard Ngarava,Zimbabwe,ODI,41,16,6,97,35,9.7,69.29,0,0,40,337.1,49,39.1,5.68,Apr-43,2,0
Blessing Muzarabani,Zimbabwe,ODI,42,16,10,82,16*,13.66,62.12,0,0,41,330.2,44,39.84,5.31,May-49,1,1
Wellington Masakadza,Zimbabwe,ODI,34,15,6,137,34,15.22,69.19,0,0,32,281,34,43.05,5.21,Apr-45,1,0
Tendai Chatara,Zimbabwe,ODI,88,30,18,166,25*,13.83,58.87,0,0,87,747.3,107,29.29,4.18,Apr-33,3,0
Brad Evans,Zimbabwe,ODI,15,11,5,161,33*,26.83,96.99,0,0,15,115.3,13,52.76,5.93,May-54,0,1
Kusal Mendis,Sri Lanka,ODI,126,118,9,3623,119,33.24,84.53,3,28,0,,0,,,,0,0
Pathum Nissanka,Sri Lanka,ODI,46,46,5,1584,137*,38.63,85.67,4,11,0,,0,,,,0,0
Charith Asalanka,Sri Lanka,ODI,58,52,8,1548,110*,35.18,89.08,1,10,10,43,4,88.25,8.21,01-Dec,0,0
Sadeera Samarawickrama,Sri Lanka,ODI,28,26,3,887,108,38.56,92.41,1,7,0,,0,,,,0,0
Dasun Shanaka,Sri Lanka,ODI,70,59,14,1231,108,27.35,91.58,2,4,45,279.4,27,49.44,4.77,May-43,0,1
Dhananjaya de Silva,Sri Lanka,ODI,83,74,10,1895,93,29.61,78.56,0,12,70,476,48,38.91,3.91,Mar-32,0,0
Maheesh Theekshana,Sri Lanka,ODI,30,11,5,98,38*,16.33,73.13,0,0,30,277.2,43,25.9,4.01,Apr-25,1,0
Wanindu Hasaranga,Sri Lanka,ODI,66,41,6,832,80,23.77,105.18,0,4,64,526.2,102,28,5.43,Apr-36,1,0
Kasun Rajitha,Sri Lanka,ODI,28,6,2,36,12*,9,52.17,0,0,28,222,34,43.32,6.62,Apr-79,1,0
Dilshan Madushanka,Sri Lanka,ODI,17,2,2,6,6*,-,85.71,0,0,17,137.3,27,32.07,6.28,May-80,0,1
Matheesha Pathirana,Sri Lanka,ODI,12,2,1,12,10,12,109.09,0,0,12,87,19,31.84,6.95,Apr-32,1,0
Quinton de Kock,South Africa,ODI,155,155,9,6770,178,45.25,96.64,21,32,1,6,1,13,2.16,Jan-13,0,0
Rassie van der Dussen,South Africa,ODI,56,56,6,2245,134,44.9,88.89,6,13,0,,0,,,,0,0
Aiden Markram,South Africa,ODI,59,54,2,1913,175,36.78,96.32,2,10,22,108,19,47,8.27,Feb-20,0,0
Heinrich Klaasen,South Africa,ODI,58,52,6,1875,174,40.76,113.35,4,10,1,3,0,,,0/3,0,0
David Miller,South Africa,ODI,165,132,39,4161,139*,44.75,101.37,5,23,1,1,0,,,0/1,0,0
Marco Jansen,South Africa,ODI,25,18,5,408,75,31.38,112.07,0,2,25,216.5,44,28.61,5.8,May-39,1,1
Keshav Maharaj,South Africa,ODI,43,15,6,162,40,18,72.29,0,0,42,384,49,35.63,4.54,Apr-33,1,0
Tabraiz Shamsi,South Africa,ODI,52,7,5,24,8*,12,46.15,0,0,50,451.5,78,30.35,5.24,May-49,1,1
Kagiso Rabada,South Africa,ODI,101,38,17,333,31,15.85,84.71,0,0,101,879.2,157,27.49,4.91,Jun-16,2,1
Lungi Ngidi,South Africa,ODI,51,9,6,44,19*,14.66,88,0,0,51,444.2,82,27.63,5.1,Jun-58,2,1
Gerald Coetzee,South Africa,ODI,12,4,3,21,15*,21,77.77,0,0,12,91.4,24,24.83,6.5,Apr-44,1,0
